author,title,year,journal
Robert L. Cheng,Segregatories and reciprocals and their scopes: Interfacing constructions in short-term memory with long-term memory through their semantic features,2000,LANGUAGE AND LINGUISTICS
Kawai Chui,Morphologization of the degree adverb HEN,2000,LANGUAGE AND LINGUISTICS
Hsin-I Hsieh,The subject chain in a compositional cognitive grammar,2000,LANGUAGE AND LINGUISTICS
Hak-khiam Tiun,A multi-dimensional analysis of spoken and written Taiwanese register ,2000,LANGUAGE AND LINGUISTICS
Chinfa Lien,A frame-based account of lexical polysemy in Taiwanese,2000,LANGUAGE AND LINGUISTICS
Yen-Hwei Lin,Agreement and disagreement of vowel features: Mid vowel assimilation in Yanggu,2000,LANGUAGE AND LINGUISTICS
Jackson T.-S. Sun,Parallelisms in the verb morphology of Sidaba rGyalrong and Lavrung in rGyalrongic,2000,LANGUAGE AND LINGUISTICS
Ting-chi Tang,Finite and nonfinite clauses in Chinese,2000,LANGUAGE AND LINGUISTICS
Melody Ya-yin Chang,On Tsou wh-Questions: Movement or in Situ?,2000,LANGUAGE AND LINGUISTICS
Hintat Cheung,Three to four-years old Children's perception and production of Mandarin consonants,2000,LANGUAGE AND LINGUISTICS
Hwang-cherng Gong,Prefixes in Old Chinese from the perspective of Sino-Tibetan comparative studies,2000,LANGUAGE AND LINGUISTICS
Michael Ian Hartley & Wong May Kim,Loanwords from English to Malay in the field of mathematics,2000,LANGUAGE AND LINGUISTICS
Shuanfan Huang,The story of heads and tails—On a sequentially sensitive lexicon,2000,LANGUAGE AND LINGUISTICS
Jo-wang Lin,On the temporal meaning of the verbal -le in Chinese,2000,LANGUAGE AND LINGUISTICS
James A. Matisoff,An extrusional approach to *p-/w- variation in Sino-Tibetan,2000,LANGUAGE AND LINGUISTICS
James Myers,Rules vs. analogy in Mandarin classifier selection,2000,LANGUAGE AND LINGUISTICS
Jackson T.-S. Sun,Stem alternations in Puxi verb inflection: Toward validating the rGyalrongic subgroup in Qiangic,2000,LANGUAGE AND LINGUISTICS
David Wible & Eva Chen,Linguistic limits on metalinguistic negation: Evidence from Mandarin and English,2000,LANGUAGE AND LINGUISTICS
Axel Schuessler,[Book Review] The Roots of Old Chinese,2000,LANGUAGE AND LINGUISTICS
Henry Y. Chang & Wei-tien Dylan Tsai,Actor-sensitivity and obligatory control in Kavalan and some other Formosan languages,2001,LANGUAGE AND LINGUISTICS
Hwang-cherng Gong,Personal agreements and phonological alternations in the Tangut verb,2001,LANGUAGE AND LINGUISTICS
Bufan Huang,A study on the genetic affiliation of Guanyinqiao speech,2001,LANGUAGE AND LINGUISTICS
Shu-ing Shyu,Remarks on object movement in Mandarin SOV order,2001,LANGUAGE AND LINGUISTICS
Andrew Simpson,Definiteness agreement and the Chinese DP,2001,LANGUAGE AND LINGUISTICS
Hongkai Sun,On language of the Qiangic branch in Tibeto-Burman,2001,LANGUAGE AND LINGUISTICS
H. Samuel Wang,A concept formation experiment on the nasality of vowels in Taiwan Min,2001,LANGUAGE AND LINGUISTICS
Anne O. Yue,The historic role of the Late Professor Y. R. Chao's 1929 field materials,2001,LANGUAGE AND LINGUISTICS
Shu-juo Chen & Mutsu Hsu,台灣原鄉論的震撼——族群遺傳基因資料的評析,2001,LANGUAGE AND LINGUISTICS
Paul Jen-kuei Li,Some remarks on the DNA study on Austronesian origins,2001,LANGUAGE AND LINGUISTICS
Marie Lin,從DNA的研究看台灣原住民的來源,2001,LANGUAGE AND LINGUISTICS
Lawrence A. Reid,"Comment on: Bing Su et al. ?Polynesian origins: Insights from the Y chromosome,? PNAS 97.15:8225-8228 (July 18, 2000)",2001,LANGUAGE AND LINGUISTICS
Cheng-Hwa Tsang,從“Polynesian origins: Insights from the Y chromosome”一文談南島民族的起源和擴散問題,2001,LANGUAGE AND LINGUISTICS
Ming-Ke Wang,「起源」的魔力及相關探討,2001,LANGUAGE AND LINGUISTICS
Paul Jen-Kuei Li,The dispersal of the Formosan aborigines in Taiwan,2001,LANGUAGE AND LINGUISTICS
W. South Coblin,‘Phags-pa Chinese and the standard reading pronunciation of Early Míng: A comparative study,2001,LANGUAGE AND LINGUISTICS
Jonathan P. Evans,Contact-induced Tonogenesis in Southern Qiang,2001,LANGUAGE AND LINGUISTICS
Joseph H. Greenberg,The methods and purposes of linguistic genetic classification,2001,LANGUAGE AND LINGUISTICS
Huei-ling Lai,On Hakka BUN: A case of polygrammaticalization,2001,LANGUAGE AND LINGUISTICS
Paul Jen-kuei Li,The linguistic position of Basay,2001,LANGUAGE AND LINGUISTICS
Chinfa Lien,The semantic extension of Tioh8 著 in Taiwanese Southern Min: An interactive approach,2001,LANGUAGE AND LINGUISTICS
Chih-Chen Jane Tang,Functional projections and adverbial expressions in Chinese,2001,LANGUAGE AND LINGUISTICS
H. Samuel Wang、Chih-ling Chang,On the Status of the Prenucleus Glide in Mandarin Chinese,2001,LANGUAGE AND LINGUISTICS
Hsiu-fang Yang,The forms and meaning of the word「解」JIE: A historical perspective ,2001,LANGUAGE AND LINGUISTICS
Anne O. Yue,Postscript to “The Historic Role of the Late Professor Y. R. Chao’s 1929 Field Materials”,2001,LANGUAGE AND LINGUISTICS
Jo-wang Lin,On temporal reference in Modern Chinese,2002,LANGUAGE AND LINGUISTICS
You-Jing Lin,A dimension missed: East and west in Situ rGyalrong orientation marking,2002,LANGUAGE AND LINGUISTICS
Charles Randriamasimanana,Binary branching and null subjects in Malagasy,2002,LANGUAGE AND LINGUISTICS
Jackson T.-S. Sun & Shi Danluo,Empathy hierarchy in Caodeng rGyalrong grammar,2002,LANGUAGE AND LINGUISTICS
Yi-Min Tien & Ovid J. L. Tzeng & Daisy L. Hung,Semantic and cognitive basis of Chinese classifiers: A functional approach,2002,LANGUAGE AND LINGUISTICS
Ruei-wen Wu,Chronological strata of Qieyun drade IV finals in Min,2002,LANGUAGE AND LINGUISTICS
D. Victoria Rau,Nominalization in Yami,2002,LANGUAGE AND LINGUISTICS
Lillian M. Huang,Nominalization in Mayrinax Atayal,2002,LANGUAGE AND LINGUISTICS
Paul Jen-kuei Li,Nominalization in Pazih,2002,LANGUAGE AND LINGUISTICS
Elizabeth Zeitoun,Nominalization in Mantauran (Rukai),2002,LANGUAGE AND LINGUISTICS
Chih-Chen Jane Tang,On nominalizations in Paiwan,2002,LANGUAGE AND LINGUISTICS
Melody Ya-yin Chang,Nominalization in Tsou,2002,LANGUAGE AND LINGUISTICS
Henry Y. Chang & Amy Pei-jung Lee,Nominalization in Kavalan,2002,LANGUAGE AND LINGUISTICS
Cheng-Fu Chen,Nominalization of interrogatives in Kucapungan Rukai,2002,LANGUAGE AND LINGUISTICS
Edith Aldridge,Nominalization and wh-movement in Seediq and Tagalog,2002,LANGUAGE AND LINGUISTICS
Stanley Starosta,Austronesian 'focus' as derivation: Evidence from nominalization,2002,LANGUAGE AND LINGUISTICS
Elizabeth Zeitoun,[Book review] Pazih dictionary,2002,LANGUAGE AND LINGUISTICS
Kathleen Ahrens & Chu-Ren Huang,TIME PASSING IS MOTION,2002,LANGUAGE AND LINGUISTICS
Yung-O Biq,Classifier and construction: The interaction of grammatical categories and cognitive strategies,2002,LANGUAGE AND LINGUISTICS
Min-Hua Chiang,Reduplication and tone-sandhi in the Tungshih Hakka dialect,2002,LANGUAGE AND LINGUISTICS
Chinfa Lien,"Interface between construction and lexical semantics: A case study of the polysemous word kek4 激 and its congeners tin3 佯, chng1 裝 and ke2 假 in Taiwanese Southern Min",2002,LANGUAGE AND LINGUISTICS
Lily I-wen Su,What can metaphors tell us about culture?,2002,LANGUAGE AND LINGUISTICS
Ting-chi Tang,The causative-inchoative alternation in Chinese compound verbs,2002,LANGUAGE AND LINGUISTICS
Kawai Chui,Ritualization in evolving pragmatic functions: A case study of DUI,2002,LANGUAGE AND LINGUISTICS
Shuan-Fan Huang,The pragmatics of focus in Tsou and Seediq,2002,LANGUAGE AND LINGUISTICS
Waltraud Paul,Sentence-internal topics in Mandarin Chinese: The case of object preposing,2002,LANGUAGE AND LINGUISTICS
Stanley Starosta & Pranee Kullavanijaya,Cause and result clauses from the Ramkhamhaeng inscription to Modern Thai,2002,LANGUAGE AND LINGUISTICS
Chih-Chen Jane Tang,On negative constructions in Paiwan,2002,LANGUAGE AND LINGUISTICS
Feng-fu Tsao & Su-ying Hsiao,On the syntax and semantics of two correlative constructions in Mandarin Chinese,2002,LANGUAGE AND LINGUISTICS
H. Samuel Wang,The prosodic effects on Taiwan Min tones,2002,LANGUAGE AND LINGUISTICS
Li-li Chang,Verb compounding and iconicity,2003,LANGUAGE AND LINGUISTICS
Shu-Fen Chen,Vowel length in Middle Chinese based on Buddhist Sanskrit transliterations,2003,LANGUAGE AND LINGUISTICS
Zev Handel,Northern Min tone values and the reconstruction of “softened initials”,2003,LANGUAGE AND LINGUISTICS
Chinfa Lien,Exploring multiple functions of choe3 做 and its interaction with constructional meanings in Taiwanese Southern Min,2003,LANGUAGE AND LINGUISTICS
James Myers & Jane Tsay,A formal functional model of tone,2003,LANGUAGE AND LINGUISTICS
Jennifer M. Y. Wei,Codeswitching in campaigning discourse: The case of Taiwanese president Chen Shui-bian,2003,LANGUAGE AND LINGUISTICS
Hsiu-Fang Yang,A comparative study of Wu and Min cognates of zhí 摭,2003,LANGUAGE AND LINGUISTICS
Yuchau E. Hsiao,Semantics and Cognition: An introduction,2003,LANGUAGE AND LINGUISTICS
Leonard Talmy,The Representation of Spatial Structure in Spoken and Signed Language: A Neural Model,2003,LANGUAGE AND LINGUISTICS
Ronald W. Langacker,"Constructional integration, grammaticization, and serial verb constructions",2003,LANGUAGE AND LINGUISTICS
Yuchau E. Hsiao,Conceptualizations of GUO in Mandarin,2003,LANGUAGE AND LINGUISTICS
James H-Y. Tai,Cognitive relativism: Resultative construction in Chinese,2003,LANGUAGE AND LINGUISTICS
Jung-hsing Chang,Event structure and argument linking in Chinese,2003,LANGUAGE AND LINGUISTICS
Huei-ling Lai,Hakka LAU constructions: A constructional approach,2003,LANGUAGE AND LINGUISTICS
Chinfa Lien,In search of covert grammatical categories in Taiwanese Southern Min: A cognitive approach to verb semantics,2003,LANGUAGE AND LINGUISTICS
Cherry Ing Li & Leslie Fu-mei Wang,Conceptual mapping and functional shift: The case of Taiwanese Southern Min Cit-e,2003,LANGUAGE AND LINGUISTICS
Shuanfan Huang,Doubts about complementation: A functionalist analysis,2003,LANGUAGE AND LINGUISTICS
Chu-Ren Huang ,Introduction,2003,LANGUAGE AND LINGUISTICS
Kathleen Ahrens & Chu-Ren Huang & Yuan-hsun Chuang,Sense and meaning facets in verbal semantics: A MARVS perspective,2003,LANGUAGE AND LINGUISTICS
Hong Gao & Chin-Chuan Cheng,Verbs of contact by impact in English and their equivalents in Mandarin Chinese,2003,LANGUAGE AND LINGUISTICS
Chu-Ren Huang & Elanna I. J. Tseng & Dylan B. S. Tsai & Brian Murphy,Cross-lingual portability of semantic relations: Bootstrapping Chinese WordNet with English WordNet relations,2003,LANGUAGE AND LINGUISTICS
Huei-ling Lai,The semantic extension of Hakka LAU,2003,LANGUAGE AND LINGUISTICS
Mei-chun Liu,From collocation to event information: The case of Mandarin verbs of discussion,2003,LANGUAGE AND LINGUISTICS
Yang Shen,Lexical and semantic conditions differentiating V zhe A structures in Chinese,2003,LANGUAGE AND LINGUISTICS
Benjamin K. T'sou & Oi Yee Kwong,When laws get common: Comparing the use of legal terms in two corpora,2003,LANGUAGE AND LINGUISTICS
Shiwen Yu & Junfeng Hu,Word-based statistical analysis of Chinese ancient poetry,2003,LANGUAGE AND LINGUISTICS
Weidong Zhan,Syntactic and semantic restrictions on verb-complement construction and structural disambiguation of the “v + a + n” pattern ,2003,LANGUAGE AND LINGUISTICS
William Bright,What IS a name? Reflections on onomastics,2003,LANGUAGE AND LINGUISTICS
Yun-bing Li,Some issues regarding tones in the Miao-Yao languages ,2003,LANGUAGE AND LINGUISTICS
E. G. Pulleyblank,Non-contrastive features or enhancement by redundant features?,2003,LANGUAGE AND LINGUISTICS
Laurent Sagart,Sources of Middle Chinese manner types: Old Chinese prenasalized initials in Hmong-Mien and Sino-Tibetan perspective,2003,LANGUAGE AND LINGUISTICS
Jackson T.-S. Sun,Phonological profile of Zhongu: A new Tibetan dialect of Northern Sichuan,2003,LANGUAGE AND LINGUISTICS
Hongyin Tao,Toward an emergent view of lexical semantics,2003,LANGUAGE AND LINGUISTICS
Hsiao-Ching Wu,A case study on the grammaticalization of GUO in Mandarin Chinese—Polysemy of the motion verb with respect to semantic changes,2003,LANGUAGE AND LINGUISTICS
W. South Coblin,[Review Article] A recent contribution to Sino-Tibetan linguistics,2003,LANGUAGE AND LINGUISTICS
,Preface,2004,LANGUAGE AND LINGUISTICS
K. A. Jayaseelan,Question movement in some SOV languages and the theory of feature checking,2004,LANGUAGE AND LINGUISTICS
Masao Ochi,How come and other adjunct wh-phrases: A cross-linguistic perspective,2004,LANGUAGE AND LINGUISTICS
Akira Watanabe,Parametrization of quantificational determiners and head-Internal relatives,2004,LANGUAGE AND LINGUISTICS
Edith Aldridge,Internally headed relative clauses in Austronesian languages,2004,LANGUAGE AND LINGUISTICS
Keiko Murasugi & Tomoko Kawamura,On the acquisition of scrambling in Japanese,2004,LANGUAGE AND LINGUISTICS
Edson T. Miyamoto & Shoichi Takahash,Filler-gap dependencies in the processing of scrambling in Japanese,2004,LANGUAGE AND LINGUISTICS
Hironobu Kasai,Two notes on ATB movement,2004,LANGUAGE AND LINGUISTICS
Niina Zhang,Move is remerge,2004,LANGUAGE AND LINGUISTICS
Takeo Kurafuji,"Plural morphemes, definiteness, and the notion of semantic parameter",2004,LANGUAGE AND LINGUISTICS
Ji-yung Kim,Specific nominals in Chinese and Korean,2004,LANGUAGE AND LINGUISTICS
Ching-Huei Teresa Wu,On de/bu and the syntactic nature of resultative serbal compounding,2004,LANGUAGE AND LINGUISTICS
Elizabeth Zeitoun,Preface,2004,LANGUAGE AND LINGUISTICS
K. Alexander Adelaar,The coming and going of 'lexical prefixes' in Siraya,2004,LANGUAGE AND LINGUISTICS
Paul Jen-kuei Li,"Origins of the East Formosans: Basay, Kavalan, Amis, and Siraya",2004,LANGUAGE AND LINGUISTICS
Chih-Chen Jane Tang,Two types of classifier languages: A typological study of classification markers in Paiwan noun phrases,2004,LANGUAGE AND LINGUISTICS
Charles Randriamasimanana,Malagasy and Formosan languages: A comparison,2004,LANGUAGE AND LINGUISTICS
Lawrence A. Reid & Hsiu-chuan Liao,A brief syntactic typology of Philippine languages,2004,LANGUAGE AND LINGUISTICS
Malcolm D. Ross,The morphosyntactic typology of Oceanic languages,2004,LANGUAGE AND LINGUISTICS
Keith Dede,"Language attitudes in Xining, Qinghai",2004,LANGUAGE AND LINGUISTICS
Shaoyu Jiang,Development of 盡 V——V 盡 and 誤 V/錯 V——V 錯: Time of appearance of the VC construction,2004,LANGUAGE AND LINGUISTICS
Bit-chee Kwok,Evidence for an ancient Jiangdong layer in the Yue dialects as revealed in “special words” of the Yu and Zhi rhymes,2004,LANGUAGE AND LINGUISTICS
Tzong-Hong Jonah Lin,"Aspect, distributivity, and wh/QP interaction in Chinese",2004,LANGUAGE AND LINGUISTICS
Feng Wang & William S.-Y. Wang,Basic words and language evolution,2004,LANGUAGE AND LINGUISTICS
Pei-chuan Wei,Object position in verb-complement potential constructions in Early Mandarin,2004,LANGUAGE AND LINGUISTICS
Cheng Zhang,Comparative constructions in the Ming Dynasty,2004,LANGUAGE AND LINGUISTICS
Yen-Hwei Lin,Preface,2004,LANGUAGE AND LINGUISTICS
Ian Maddieson,Timing and alignment: A case study of Lai,2004,LANGUAGE AND LINGUISTICS
Yi Xu,Understanding tone from the perspective of production and perception,2004,LANGUAGE AND LINGUISTICS
Matthew Y. Chen,Changting Hakka tone sandhi: Analytical challenges,2004,LANGUAGE AND LINGUISTICS
Larry M. Hyman & Kenneth VanBik,Directional rule application and output problems in Hakha Lai tone,2004,LANGUAGE AND LINGUISTICS
Zhiming Bao,Accentualism in Chinese,2004,LANGUAGE AND LINGUISTICS
San Duanmu,Tone and non-tone languages: An alternative to language typology and parameters,2004,LANGUAGE AND LINGUISTICS
Jie Zhang,Contour tone licensing and contour tone representation,2004,LANGUAGE AND LINGUISTICS
Moira Yip,Phonological markedness and allomorph selection in Zahao,2004,LANGUAGE AND LINGUISTICS
Hui-chuan Hsu,Compositional structure of /iu/ and /ui/ in Taiwanese Southern Min revisited,2004,LANGUAGE AND LINGUISTICS
Yen-Hwei Lin,Chinese affixal phonology: Some analytical and theoretical issues,2004,LANGUAGE AND LINGUISTICS
Tao Gong & William S-Y. Wang,"Computational modeling on language emergence: A coevolution model of lexicon, syntax and social structure",2005,LANGUAGE AND LINGUISTICS
Bit-chee Kwok,Language contact and change of rules: The behaviors of Middle Chinese voiced initials in the Yuebei Tuhua,2005,LANGUAGE AND LINGUISTICS
Chia-Ying Lee & Jie-Li Tsai & Erica Chung-I Su & Ovid J. L. Tzeng & Daisy L. Hung,"Consistency, regularity, and frequency effects in naming Chinese characters",2005,LANGUAGE AND LINGUISTICS
Chinfa Lien,Verbs of visual perception in Taiwanese Southern Min: A cognitive approach to shift of semantic domains,2005,LANGUAGE AND LINGUISTICS
Hsiu-Hsueh Liu,Place-deixis in the Qionglin dialect,2005,LANGUAGE AND LINGUISTICS
Shu-Chuan Tseng,Contracted syllables in Mandarin: Evidence from spontaneous conversations,2005,LANGUAGE AND LINGUISTICS
James Myers & James H-Y. Tai,Preface,2005,LANGUAGE AND LINGUISTICS
Wayne H. Smith,Taiwan sign language research: An historical overview,2005,LANGUAGE AND LINGUISTICS
Jean Ann,A functional explanation of Taiwan sign language handshape frequency,2005,LANGUAGE AND LINGUISTICS
Jung-hsing Chang & Shiou-fen Su & James H-Y. Tai,"Classifier predicates reanalyzed, with special reference to Taiwan sign language",2005,LANGUAGE AND LINGUISTICS
Susan Duncan,Gesture in signing: A case study from Taiwan sign language,2005,LANGUAGE AND LINGUISTICS
James Myers & Hsin-hsien Lee & Jane Tsay,Phonological production in Taiwan sign language,2005,LANGUAGE AND LINGUISTICS
Yi-Hsuan Chiu & Jen-Chuen Hsieh & Wen-Jui Kuo & Daisy L. Hung & Ovid J. L. Tzeng,Vision- and manipulation-based sgns in Taiwan sign language,2005,LANGUAGE AND LINGUISTICS
Jerold A. Edmondson & John H. Esling & Jimmy G. Harris & Tung-chiou Huang,A laryngoscopic study of glottal and epiglottal/pharyngeal stop and continuant articulations in Amis-an Austronesian language of Taiwan,2005,LANGUAGE AND LINGUISTICS
Miao-Ling Hsieh,Two types of modifiers and parallelisms between DPs and TPs in Chinese,2005,LANGUAGE AND LINGUISTICS
Chih-Chen Jane Tang,Nouns or classifiers: A non-movement analysis of classifiers in Chinese,2005,LANGUAGE AND LINGUISTICS
Futang Wang,An exploration of Proto-Min reconstruction,2005,LANGUAGE AND LINGUISTICS
Ik-sang Eom,Phonological affinity between Sino-Korean and Chinese dialects,2005,LANGUAGE AND LINGUISTICS
Jia-jing Hua & Elizabeth Zeitoun,"A note on Paiwan tj, dj, and lj",2005,LANGUAGE AND LINGUISTICS
Tao Gong,Linguistics from a computational perspective-review of computational linguistics and beyond,2005,LANGUAGE AND LINGUISTICS
Shuanfan Huang,Introduction,2005,LANGUAGE AND LINGUISTICS
Gilles Fauconnier,Compression and emergent structure,2005,LANGUAGE AND LINGUISTICS
James H-Y. Tai,Conceptual structure and conceptualization in Chinese,2005,LANGUAGE AND LINGUISTICS
Huei-ju Huang & Michael Tanangkingsing,Repair in verb-initial languages,2005,LANGUAGE AND LINGUISTICS
Fuhui Hsieh & Shuanfan Huang,"Grammar, construction, and social action: A study of the qíshí construction",2005,LANGUAGE AND LINGUISTICS
Kawai Chui,Topicality and gesture in Chinese conversational discourse,2005,LANGUAGE AND LINGUISTICS
Lily I-wen Su,Conditional reasoning as a reflection of mind,2005,LANGUAGE AND LINGUISTICS
Jung-hsing Chang & Hui-hua Hwang,Mental Spaces Theory and metaphors in Butterfly Lovers,2005,LANGUAGE AND LINGUISTICS
Chinfa Lien,Families of ditransitive constructions in Li Jing Ji,2005,LANGUAGE AND LINGUISTICS
Malcolm Ross & Stacy Fang-ching Teng,Formosan languages and linguistic typology,2005,LANGUAGE AND LINGUISTICS
